name,image_url,category,price,stock,description
Camouflage Print Track Pants with Drawstring Waistband,https://assets.ajio.com/medias/sys_master/root/20210824/z97U/61241ad17cdb8cb82403479e/-286Wx359H-441118465-blue-MODEL.jpg,Men,999,100,Camouflage Print Track Pants with Drawstring Waistband
Heathered Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220120/cOKW/61e98315f997dd66232f62c7/-286Wx359H-441036730-greymelange-MODEL.jpg,Men,599,100,Heathered Crew-Neck T-shirt
Slim Fit Striped Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20211023/6Qlf/617313e1aeb2690110a3e30e/-286Wx359H-460453611-white-MODEL.jpg,Men,"1,649",100,Slim Fit Striped Shirt with Patch Pocket
Pack of 2 Flat-Front Relaxed Fit Trousers,https://assets.ajio.com/medias/sys_master/root/20211209/x1LL/61b10d34aeb269011004517f/-286Wx359H-462523823-grey-MODEL.jpg,Men,"4,998",100,Pack of 2 Flat-Front Relaxed Fit Trousers
Quick-Dry Court Sport Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220303/USsM/621fc9a8f997dd03e2fd778a/-286Wx359H-441134772-mint-MODEL.jpg,Men,599,100,Quick-Dry Court Sport Crew-Neck T-shirt
Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20220212/wTQI/6206bcf1aeb26921af95155e/-286Wx359H-469084033-blue-MODEL.jpg,Men,"1,999",100,Slim Fit Shirt with Patch Pocket
Lightly Washed Bootcut Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20211208/H1Yk/61aff737f997ddf8f14669dd/-286Wx359H-460971208-blue-MODEL.jpg,Men,"3,699",100,Lightly Washed Bootcut Fit Jeans
Striped Round-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20210403/KJgM/60686309f997dd7b645d301c/-286Wx359H-461085138-green-MODEL.jpg,Men,"1,199",100,Striped Round-Neck T-shirt
Washed Slim Fit Cropped Jeans,https://assets.ajio.com/medias/sys_master/root/20211002/VvzC/615871aaaeb2692b859dd205/-286Wx359H-441115782-ltblue-MODEL.jpg,Men,"1,699",100,Washed Slim Fit Cropped Jeans
Mid-Wash Skinny Jeans,https://assets.ajio.com/medias/sys_master/root/20220120/kRdt/61e98240f997dd66232f5130/-286Wx359H-469079333-blue-MODEL.jpg,Men,"2,299",100,Mid-Wash Skinny Jeans
Low-Rise Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20220301/EPwF/621d2ea8f997dd03e2f5ac9d/-286Wx359H-441257182-black-MODEL.jpg,Men,"2,799",100,Low-Rise Slim Fit Jeans
Checked Slim Fit V-neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220121/flSs/61ea7cecaeb2695cdd2686f5/-286Wx359H-462580176-navy-MODEL.jpg,Men,999,100,Checked Slim Fit V-neck T-shirt
Floral Print Cotton Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/20220301/BoEq/621e35f7aeb26921afbf00fc/-286Wx359H-441137557-white-MODEL.jpg,Men,699,100,Floral Print Cotton Polo T-shirt
Flat-Front Slim Fit Chinos,https://assets.ajio.com/medias/sys_master/root/20210316/uVYY/604fb687f997dd5c40116db4/-286Wx359H-460259760-green-MODEL.jpg,Men,"1,899",100,Flat-Front Slim Fit Chinos
Striped Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210601/XRp4/60b52d7eaeb269a9e3ce8c6b/-286Wx359H-441123875-white-MODEL.jpg,Men,999,100,Striped Shirt with Patch Pocket
Typography Pattern Slim Fit Bermudas,https://assets.ajio.com/medias/sys_master/root/20220519/tRet/628639b6f997dd03e2f2ef7a/-286Wx359H-461442181-white-MODEL.jpg,Men,999,100,Typography Pattern Slim Fit Bermudas
Striped Blazer with Notched Lapel,https://assets.ajio.com/medias/sys_master/root/20211014/ZNm8/6167297caeb269011090b214/-286Wx359H-441125344-maroon-MODEL.jpg,Men,"3,499",100,Striped Blazer with Notched Lapel
Speckled Flat-Front Shorts with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20211123/nSZz/619bf5f5aeb2690110d0c242/-286Wx359H-441123547-navy-MODEL.jpg,Men,799,100,Speckled Flat-Front Shorts with Insert Pockets
Slim Fit Flat-Front Chinos,https://assets.ajio.com/medias/sys_master/root/20210316/4ytg/604fb67af997dd5c40116ce2/-286Wx359H-460415435-green-MODEL.jpg,Men,"1,895",100,Slim Fit Flat-Front Chinos
Flat-Front Shorts with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210810/YFMV/61119929aeb269a2686cfaf6/-286Wx359H-441125179-jetblack-MODEL.jpg,Men,799,100,Flat-Front Shorts with Insert Pockets
Woven-Design Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20211014/hTiG/61674029aeb26901109146ce/-286Wx359H-441124085-green-MODEL.jpg,Men,"1,049",100,Woven-Design Shirt with Patch Pocket
Slim Fit Flat-Front Trousers,https://assets.ajio.com/medias/sys_master/root/20220224/rhO5/62169705f997dd03e2ebefe5/-286Wx359H-441137061-mediumblue-MODEL.jpg,Men,999,100,Slim Fit Flat-Front Trousers
Mid-Wash Mid-Rise Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20220111/FvYN/61dcb2f0f997dd66231a5afe/-286Wx359H-469084012-blue-MODEL.jpg,Men,"2,899",100,Mid-Wash Mid-Rise Slim Fit Jeans
511 Mid-Wash Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20211208/X5LS/61aff897f997ddf8f1467e4d/-286Wx359H-460977749-black-MODEL.jpg,Men,"2,799",100,511 Mid-Wash Slim Fit Jeans
Slim Fit Flat Front Trousers with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20211202/9YEy/61a7e791aeb2690110eaa91b/-286Wx359H-441130014-navy-MODEL.jpg,Men,"1,799",100,Slim Fit Flat Front Trousers with Insert Pockets
Floral Print Slim Fit Shirt,https://assets.ajio.com/medias/sys_master/root/20211013/DCEK/6165d62df997dd3ed46d1e39/-286Wx359H-461150789-cream-MODEL.jpg,Men,"2,099",100,Floral Print Slim Fit Shirt
Polo T-shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20220201/hDA2/61f83062aeb2695cdd4231b3/-286Wx359H-460867332-black-MODEL.jpg,Men,649,100,Polo T-shirt with Patch Pocket
Flat-Front Slim Fit Chinos,https://assets.ajio.com/medias/sys_master/root/20210316/73wc/6050cc797cdb8c1f1464efbc/-286Wx359H-460259760-blue-MODEL.jpg,Men,"1,899",100,Flat-Front Slim Fit Chinos
Distressed Skinny Cropped Jeans,https://assets.ajio.com/medias/sys_master/root/20210629/HWS0/60da3bf6f997ddb312115253/-286Wx359H-441122773-grey-MODEL.jpg,Men,"1,499",100,Distressed Skinny Cropped Jeans
Logo Print T-shirt with Crew-Neck,https://assets.ajio.com/medias/sys_master/root/20211014/3Zzy/616831f5aeb269011092dd1a/-286Wx359H-469019706-white-MODEL.jpg,Men,"1,499",100,Logo Print T-shirt with Crew-Neck
Mid-Wash Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20220111/pdKA/61dc933baeb2695cdd0c9cff/-286Wx359H-469084022-blue-MODEL.jpg,Men,"2,899",100,Mid-Wash Slim Fit Jeans
Lightly Wash Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20220111/6aSl/61dcb2b8f997dd66231a5764/-286Wx359H-469084056-grey-MODEL.jpg,Men,"2,899",100,Lightly Wash Slim Fit Jeans
Checked Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210316/IIPo/604fb2c1f997dd5c40115f4c/-286Wx359H-460698942-beige-MODEL.jpg,Men,"1,749",100,Checked Slim Fit Shirt with Patch Pocket
Straight Track Pants with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20220426/7Stq/62670b11f997dd03e280fe76/-286Wx359H-464233835-blue-MODEL.jpg,Men,"1,299",100,Straight Track Pants with Insert Pockets
Speckled Panelled Joggers with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210810/SuIn/61117d857cdb8cb824efd21f/-286Wx359H-441119474-grey-MODEL.jpg,Men,899,100,Speckled Panelled Joggers with Insert Pockets
Joggers with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20220408/L7MZ/62502046f997dd03e24f9d47/-286Wx359H-464146277-olive-MODEL.jpg,Men,"1,299",100,Joggers with Insert Pockets
Striped Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20220208/8yl5/62017535f997dd03e2c49645/-286Wx359H-441132421-orange-MODEL.jpg,Men,"1,049",100,Striped Slim Fit Shirt with Patch Pocket
Relaxed Fit Joggers with Drawstring,https://assets.ajio.com/medias/sys_master/root/20211103/HOql/61819582aeb2690110b792de/-286Wx359H-441134947-jetblack-MODEL.jpg,Men,"1,399",100,Relaxed Fit Joggers with Drawstring
Superstate Embroidered Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/h34/h21/15398407307294/-286Wx359H-410243861-pg5-MODEL.jpg,Men,"4,999",100,Superstate Embroidered Polo T-shirt
Colourblock Hoodie with Ribbed Hems,https://assets.ajio.com/medias/sys_master/root/20210904/rZFp/61326a707cdb8cb824164932/-286Wx359H-441126831-black-MODEL.jpg,Men,"1,299",100,Colourblock Hoodie with Ribbed Hems
Slim Fit Camo Print Cargo Joggers,https://assets.ajio.com/medias/sys_master/root/20210316/GPBl/604facaaf997dd5c401145b5/-286Wx359H-460436196-olive-MODEL.jpg,Men,"2,099",100,Slim Fit Camo Print Cargo Joggers
511Z Heavy-Wash Straight Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20220408/pzkq/62504f68aeb26921af138253/-286Wx359H-469133423-blue-MODEL.jpg,Men,"3,699",100,511Z Heavy-Wash Straight Fit Jeans
Slim Fit Flat-Front Chinos with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210731/rHUO/61044e17f997ddb312417eab/-286Wx359H-441121060-ltblue-MODEL.jpg,Men,"1,299",100,Slim Fit Flat-Front Chinos with Insert Pockets
Heathered Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/h99/hce/13480453013534/-286Wx359H-441000453-ltblue-MODEL.jpg,Men,399,100,Heathered Crew-Neck T-shirt
Flat-Front City Shorts,https://assets.ajio.com/medias/sys_master/root/20210814/hriC/6116d7b97cdb8cb824f7a9ed/-286Wx359H-441124430-olivegreen-MODEL.jpg,Men,899,100,Flat-Front City Shorts
Printed Cotton Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/20220301/YXnV/621e3e73f997dd03e2f866c6/-286Wx359H-441137356-white-MODEL.jpg,Men,699,100,Printed Cotton Polo T-shirt
Gradation Tonal Striped Crew-Neck Pullover,https://assets.ajio.com/medias/sys_master/root/20210913/pXDo/613f6ec97cdb8cb824200b09/-286Wx359H-441120750-tomatored-MODEL.jpg,Men,"1,049",100,Gradation Tonal Striped Crew-Neck Pullover
Mid-Wash Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20220310/MUxJ/6228fad3f997dd03e20a02bd/-286Wx359H-460977769-blue-MODEL.jpg,Men,"2,799",100,Mid-Wash Slim Fit Jeans
Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210420/azH9/607ecc15aeb269a9e3971ba9/-286Wx359H-462323964-peach-MODEL.jpg,Men,"1,849",100,Slim Fit Shirt with Patch Pocket
Mid-Rise Slim Fit Jeans with Whiskers,https://assets.ajio.com/medias/sys_master/root/20220413/6aYq/6255cd0aaeb26921af1ca7cb/-286Wx359H-469134981-indigo-MODEL.jpg,Men,"2,899",100,Mid-Rise Slim Fit Jeans with Whiskers
Heathered Zip-Front Hoodie with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20211004/tU1d/615ab32cf997ddce89f2c710/-286Wx359H-441124100-anthramelange-MODEL.jpg,Men,"1,049",100,Heathered Zip-Front Hoodie with Insert Pockets
Graphic Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20210403/GqvZ/606888c37cdb8c1f14778120/-286Wx359H-461415957-black-MODEL.jpg,Men,"1,199",100,Graphic Print Crew-Neck T-shirt
Striped Shirt with Curved Hemline,https://assets.ajio.com/medias/sys_master/root/20211202/h4qv/61a7d009aeb2690110e9f47a/-286Wx359H-463417754-blue-MODEL.jpg,Men,"1,499",100,Striped Shirt with Curved Hemline
Relaxed Fit Joggers with Drawstring,https://assets.ajio.com/medias/sys_master/root/20211103/AbjD/61819dffaeb2690110b7b518/-286Wx359H-441134947-olivegreen-MODEL.jpg,Men,"1,399",100,Relaxed Fit Joggers with Drawstring
Panelled City Shorts with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210615/5SXi/60c7acc7f997ddb312c92777/-286Wx359H-441118458-ecru-MODEL.jpg,Men,799,100,Panelled City Shorts with Insert Pockets
Striped Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210810/KZi2/611183a27cdb8cb824efe29a/-286Wx359H-441123881-white-MODEL.jpg,Men,999,100,Striped Shirt with Patch Pocket
Band Collar Slim Fit Shirt,https://assets.ajio.com/medias/sys_master/root/20210403/ORxf/60691fd6aeb269a9e33ea4f2/-286Wx359H-462103975-purple-MODEL.jpg,Men,"1,849",100,Band Collar Slim Fit Shirt
Solid Cotton Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/hf9/h2d/14798117601310/-286Wx359H-441024764-maroon-MODEL.jpg,Men,699,100,Solid Cotton Polo T-shirt
Checked Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210316/TUEw/604fb8947cdb8c1f14634d72/-286Wx359H-460698908-brown-MODEL.jpg,Men,"1,749",100,Checked Slim Fit Shirt with Patch Pocket
Typographic Print Shorts with Slip Pockets,https://assets.ajio.com/medias/sys_master/root/20210211/xXNh/60243337f997dd5c40ed520d/-286Wx359H-441113672-petrol-MODEL.jpg,Men,499,100,Typographic Print Shorts with Slip Pockets
Tapered Fit Flat-Front Trousers,https://assets.ajio.com/medias/sys_master/root/20210913/C7pU/613f74e2aeb269a26890ccaf/-286Wx359H-441124497-darkgreen-MODEL.jpg,Men,"1,499",100,Tapered Fit Flat-Front Trousers
Mid-Rise Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20211207/D1vw/61ae5facaeb2690110f6ee04/-286Wx359H-441209072-black-MODEL.jpg,Men,"2,399",100,Mid-Rise Slim Fit Jeans
Heathered Henley T-shirt with Contrast Tipping,https://assets.ajio.com/medias/sys_master/root/20210714/cabP/60ede5d3f997ddb3122642ea/-286Wx359H-441118122-green-MODEL.jpg,Men,799,100,Heathered Henley T-shirt with Contrast Tipping
Checked Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210316/uFwv/604faf867cdb8c1f146331ca/-286Wx359H-460698909-blue-MODEL.jpg,Men,"1,749",100,Checked Slim Fit Shirt with Patch Pocket
511 Washed Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20211103/3lM7/6181aaa2f997ddf8f1f899f5/-286Wx359H-460977736-blue-MODEL.jpg,Men,"2,799",100,511 Washed Slim Fit Jeans
Short Sleeves Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/20210403/UraZ/60691d23aeb269a9e33e72fe/-286Wx359H-462122078-black-MODEL.jpg,Men,"1,199",100,Short Sleeves Polo T-shirt
Mid-Rise Mid-Wash Slim Jeans,https://assets.ajio.com/medias/sys_master/root/20220425/YOAg/62669735aeb26921af3fcd9a/-286Wx359H-463775951-blue-MODEL.jpg,Men,"2,199",100,Mid-Rise Mid-Wash Slim Jeans
Typographic Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20211202/QCqN/61a7eb3ef997ddf8f12d7c0a/-286Wx359H-441126599-darkkhaki-MODEL.jpg,Men,399,100,Typographic Print Crew-Neck T-shirt
Pack of 2 Vests,https://assets.ajio.com/medias/sys_master/root/20210731/o5o9/610449e6aeb269a9e35b78d5/-286Wx359H-441127152-white-MODEL.jpg,Men,299,100,Pack of 2 Vests
Brand Print V-neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20211230/usyW/61ccb2aeaeb2690110230233/-286Wx359H-441243586-mustard-MODEL.jpg,Men,599,100,Brand Print V-neck T-shirt
Striped Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210601/d8KH/60b53b89aeb269a9e3cebe6a/-286Wx359H-441123875-navy-MODEL.jpg,Men,999,100,Striped Shirt with Patch Pocket
Brand Print Shorts with Drawstring Waist,https://assets.ajio.com/medias/sys_master/root/20210706/pOK2/60e3609caeb269a9e337ff8f/-286Wx359H-441123544-navy-MODEL.jpg,Men,799,100,Brand Print Shorts with Drawstring Waist
Hooded T-shirt with Drawstring Fastening,https://assets.ajio.com/medias/sys_master/root/20210415/8SqO/60785ba8f997dd7b64b30e9a/-286Wx359H-441118793-blue-MODEL.jpg,Men,799,100,Hooded T-shirt with Drawstring Fastening
Mid-Wash Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20220211/1w3N/620566a6aeb26921af92ad5b/-286Wx359H-469084010-grey-MODEL.jpg,Men,"2,899",100,Mid-Wash Slim Fit Jeans
Mid-Wash Distressed Slim Jeans,https://assets.ajio.com/medias/sys_master/root/20220126/GyRr/61f04b68f997dd66233c769c/-286Wx359H-460977763-blue-MODEL.jpg,Men,"2,799",100,Mid-Wash Distressed Slim Jeans
Tapered Fit Flat-Fit Chinos,https://assets.ajio.com/medias/sys_master/root/20211009/f6b2/61612e90f997ddce891172cc/-286Wx359H-441128280-grey-MODEL.jpg,Men,"1,499",100,Tapered Fit Flat-Fit Chinos
Flat-Front Slim Fit Chinos,https://assets.ajio.com/medias/sys_master/root/20210316/XPAC/6050ca1bf997dd5c4013a9a4/-286Wx359H-460259760-navy-MODEL.jpg,Men,"1,899",100,Flat-Front Slim Fit Chinos
Tropical Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220429/tii8/626c26bcf997dd03e28b8fbc/-286Wx359H-441137286-navy-MODEL.jpg,Men,449,100,Tropical Print Crew-Neck T-shirt
Checked Flat-Front Joggers with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210727/qeCx/60ff15b0f997ddb31238a063/-286Wx359H-441120117-darkblue-MODEL.jpg,Men,"1,499",100,Checked Flat-Front Joggers with Insert Pockets
Washed Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20220212/Xphc/6206b699aeb26921af94fff5/-286Wx359H-469084067-blue-MODEL.jpg,Men,"2,899",100,Washed Slim Fit Jeans
Checked Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210316/dBPv/604fad99aeb2696981863ff4/-286Wx359H-460698937-purple-MODEL.jpg,Men,"1,749",100,Checked Slim Fit Shirt with Patch Pocket
Graphic Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220301/8XQC/621e4576aeb26921afbf4728/-286Wx359H-441134756-lime-MODEL.jpg,Men,599,100,Graphic Print Crew-Neck T-shirt
Slim Fit Colourblock Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220422/if3W/6261b1d1f997dd03e2784eb7/-286Wx359H-469164936-black-MODEL.jpg,Men,"2,799",100,Slim Fit Colourblock Crew-Neck T-shirt
Slim Fit Flat-Front Trousers with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210814/pfnA/6116cb0aaeb269a2687247b8/-286Wx359H-441125999-stone-MODEL.jpg,Men,"1,499",100,Slim Fit Flat-Front Trousers with Insert Pockets
Striped Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210401/byO4/6065e5807cdb8c1f14731d9e/-286Wx359H-441120090-navy-MODEL.jpg,Men,999,100,Striped Slim Fit Shirt with Patch Pocket
Striped Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210316/3d2o/6050cde2f997dd5c4013bbfa/-286Wx359H-460815160-yellow-MODEL.jpg,Men,"1,749",100,Striped Slim Fit Shirt with Patch Pocket
Pack of 2 Socks with Logo Pattern,https://assets.ajio.com/medias/sys_master/root/20220408/PHy0/624f301aaeb26921af11467e/-286Wx359H-441294853-multi-MODEL.jpg,Men,249,100,Pack of 2 Socks with Logo Pattern
Mid-Wash Slim-Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20220111/Emxo/61dc850faeb2695cdd0c6290/-286Wx359H-469084028-blue-MODEL.jpg,Men,"2,899",100,Mid-Wash Slim-Fit Jeans
Flat-Front Chinos with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210714/AfRG/60ede469aeb269a9e3424b10/-286Wx359H-441119381-olivegreen-MODEL.jpg,Men,"1,499",100,Flat-Front Chinos with Insert Pockets
Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210420/inRK/607ecc91aeb269a9e3972384/-286Wx359H-462323964-yellow-MODEL.jpg,Men,"1,849",100,Slim Fit Shirt with Patch Pocket
Checked Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210403/luQG/6068d82daeb269a9e339fd61/-286Wx359H-462122156-yellow-MODEL.jpg,Men,"1,299",100,Checked Slim Fit Shirt with Patch Pocket
Mid-Rise Panelled Joggers,https://assets.ajio.com/medias/sys_master/root/h02/hf8/11858933514270/-286Wx359H-460265535-multi-MODEL.jpg,Men,"2,995",100,Mid-Rise Panelled Joggers
Cotton Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210819/gclb/611e7443f997ddce89a5e3fc/-286Wx359H-441123441-olive-MODEL.jpg,Men,999,100,Cotton Shirt with Patch Pocket
Speckled Polo T-shirt with Contrast Tipping,https://assets.ajio.com/medias/sys_master/root/h11/h1a/13550750138398/-286Wx359H-441000675-blue-MODEL.jpg,Men,599,100,Speckled Polo T-shirt with Contrast Tipping
Striped Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/20211002/z1yA/61578743aeb2692b859a82eb/-286Wx359H-441116555-blue-MODEL.jpg,Men,899,100,Striped Polo T-shirt
Tapered Fit Chinos with Waist Tie-Up,https://assets.ajio.com/medias/sys_master/root/20211208/rOP5/61afb3e5f997ddf8f1422e74/-286Wx359H-441124625-navy-MODEL.jpg,Men,"1,499",100,Tapered Fit Chinos with Waist Tie-Up
Floral Print Slim Fit Shirt,https://assets.ajio.com/medias/sys_master/root/20211027/Zy7D/61784abbf997ddf8f1ea591b/-286Wx359H-460552792-white-MODEL.jpg,Men,"2,099",100,Floral Print Slim Fit Shirt
Mid-Wash Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20211009/uNyk/6161ced4f997ddce8913cca1/-286Wx359H-460977728-blue-MODEL.jpg,Men,"2,499",100,Mid-Wash Slim Fit Jeans
Crew-Neck T-shirt with Contrast Stripes,https://assets.ajio.com/medias/sys_master/root/20210403/3Bjo/60686845aeb269a9e3319e37/-286Wx359H-461083544-grey-MODEL.jpg,Men,"1,199",100,Crew-Neck T-shirt with Contrast Stripes
Slim Fit Shorts with Pockets,https://assets.ajio.com/medias/sys_master/root/20210627/LmBe/60d87465f997ddb312f4ee47/-286Wx359H-461152806-white-MODEL.jpg,Men,"1,599",100,Slim Fit Shorts with Pockets
Mid-Rise Skinny Jeans,https://assets.ajio.com/medias/sys_master/root/h16/h38/14876758048798/-286Wx359H-441038480-ltblue-MODEL.jpg,Men,799,100,Mid-Rise Skinny Jeans
Polo T-shirt with Typography,https://assets.ajio.com/medias/sys_master/root/20211006/VP6l/615dd89aaeb2692b85b24ee1/-286Wx359H-460971697-red-MODEL.jpg,Men,"1,399",100,Polo T-shirt with Typography
Striped Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20210601/nKX3/60b54034aeb269a9e3cecff3/-286Wx359H-441119693-blue-MODEL.jpg,Men,499,100,Striped Crew-Neck T-shirt
Slub-Knit Crew-Neck T-shirt with Flap Pocket,https://assets.ajio.com/medias/sys_master/root/20210525/Vilg/60ac276baeb269a9e3c83f61/-286Wx359H-441119080-blue-MODEL.jpg,Men,599,100,Slub-Knit Crew-Neck T-shirt with Flap Pocket
Heathered Joggers with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210601/IAaG/60b538aef997ddb312af3645/-286Wx359H-441119486-maroon-MODEL.jpg,Men,899,100,Heathered Joggers with Insert Pockets
Logo Print Round-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220408/9sPz/62505b1daeb26921af13c179/-286Wx359H-460970988-green-MODEL.jpg,Men,"1,099",100,Logo Print Round-Neck T-shirt
Quick-Dry Cuffed Track Pants with Placement Print,https://assets.ajio.com/medias/sys_master/root/20220303/Yebq/621fc5d3aeb26921afc3e100/-286Wx359H-441134827-darkblue-MODEL.jpg,Men,799,100,Quick-Dry Cuffed Track Pants with Placement Print
Checked Slim Fit Shirt,https://assets.ajio.com/medias/sys_master/root/20211030/0PXd/617c50dcf997ddf8f1f2d840/-286Wx359H-460698906-navyblue-MODEL.jpg,Men,"1,749",100,Checked Slim Fit Shirt
Solid Collar Neck Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/20211003/kU41/6159ab90aeb2692b859f8b44/-286Wx359H-463026924-pink-MODEL.jpg,Men,449,100,Solid Collar Neck Polo T-shirt
Slim Fit Checked Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20211125/jogy/619e8531f997ddf8f119cb53/-286Wx359H-460353520-maroon-MODEL.jpg,Men,"1,749",100,Slim Fit Checked Shirt with Patch Pocket
Striped Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210629/uPHt/60da47adaeb269a9e32ee03b/-286Wx359H-441123880-white-MODEL.jpg,Men,999,100,Striped Shirt with Patch Pocket
Mid-Rise Jogger Jeans with Zip Pocket,https://assets.ajio.com/medias/sys_master/root/20211013/QZyi/61663036aeb26901108f0ce4/-286Wx359H-461094398-blue-MODEL.jpg,Men,"1,799",100,Mid-Rise Jogger Jeans with Zip Pocket
Heavily Washed Skinny Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20211202/V390/61a7f4a4aeb2690110eaec48/-286Wx359H-441124318-ltgrey-MODEL.jpg,Men,"1,299",100,Heavily Washed Skinny Fit Jeans
Graphic Print Round-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220419/iGdV/625dbf14aeb26921af296a20/-286Wx359H-441134755-jetblack-MODEL.jpg,Men,899,100,Graphic Print Round-Neck T-shirt
Track Pants with Elasticated Drawstring Waist,https://assets.ajio.com/medias/sys_master/root/20220408/9uet/624f3cd1f997dd03e24e0db6/-286Wx359H-441134820-darkblue-MODEL.jpg,Men,"1,499",100,Track Pants with Elasticated Drawstring Waist
Logo Print Shorts with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20220415/MYZo/62598e99f997dd03e2617bfe/-286Wx359H-441134790-darkgrey-MODEL.jpg,Men,799,100,Logo Print Shorts with Insert Pockets
Graphic Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20210403/LHlK/6068c5bcf997dd7b64656298/-286Wx359H-462112402-grey-MODEL.jpg,Men,999,100,Graphic Print Crew-Neck T-shirt
Full-Sleeve Henley T-shirt,https://assets.ajio.com/medias/sys_master/root/20210913/3UqS/613f6b0c7cdb8cb8241fffe8/-286Wx359H-441125580-ecrumelange-MODEL.jpg,Men,"1,399",100,Full-Sleeve Henley T-shirt
Washed Skinny Cropped Jeans,https://assets.ajio.com/medias/sys_master/root/20211217/Nu3m/61bcaab8f997ddf8f1556032/-286Wx359H-441124247-mediumblue-MODEL.jpg,Men,"1,499",100,Washed Skinny Cropped Jeans
